Time,Balance
Thu Dec 28 2017 12:46:40 GMT-0500 (Eastern Standard Time),0.09467110863457233
Thu Dec 28 2017 12:47:40 GMT-0500 (Eastern Standard Time),0.09467110863457233
Thu Dec 28 2017 12:48:41 GMT-0500 (Eastern Standard Time),0.09467111421831519
Thu Dec 28 2017 12:49:40 GMT-0500 (Eastern Standard Time),0.09467106318285151
Thu Dec 28 2017 12:50:40 GMT-0500 (Eastern Standard Time),0.09467101215463224
Thu Dec 28 2017 12:51:41 GMT-0500 (Eastern Standard Time),0.09467107987582984
Thu Dec 28 2017 12:52:41 GMT-0500 (Eastern Standard Time),0.09470867824947454
Thu Dec 28 2017 12:53:42 GMT-0500 (Eastern Standard Time),0.09472777725529752
Thu Dec 28 2017 12:54:40 GMT-0500 (Eastern Standard Time),0.0947470184086036
Thu Dec 28 2017 12:55:40 GMT-0500 (Eastern Standard Time),0.09470867824947454
Thu Dec 28 2017 12:56:40 GMT-0500 (Eastern Standard Time),0.09472774290346021
Thu Dec 28 2017 12:57:40 GMT-0500 (Eastern Standard Time),0.09474697845986915
Thu Dec 28 2017 12:58:40 GMT-0500 (Eastern Standard Time),0.09474697288929786
Thu Dec 28 2017 12:59:41 GMT-0500 (Eastern Standard Time),0.09480577440988658
Thu Dec 28 2017 13:00:41 GMT-0500 (Eastern Standard Time),0.09480577440988658
Thu Dec 28 2017 13:01:41 GMT-0500 (Eastern Standard Time),0.09480572322407285
Thu Dec 28 2017 13:02:40 GMT-0500 (Eastern Standard Time),0.09478594885345172
Thu Dec 28 2017 13:03:40 GMT-0500 (Eastern Standard Time),0.09476639295168655
Thu Dec 28 2017 13:04:40 GMT-0500 (Eastern Standard Time),0.09478599447482448
Thu Dec 28 2017 13:05:40 GMT-0500 (Eastern Standard Time),0.09478594328901076
Thu Dec 28 2017 13:06:40 GMT-0500 (Eastern Standard Time),0.09476633625435406
Thu Dec 28 2017 13:07:41 GMT-0500 (Eastern Standard Time),0.0947469673149837
